rating_score,critic_likes,critic_comments,user_trialist,user_subscriber,user_eligible_for_trial,user_has_payment_method,movie_release_year,movie_title_language,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,user_id
3.0,0,0,0,0,1,0,2004.0,en,11,28,1,24,1342,90756463
2.0,0,0,0,0,1,1,2004.0,en,11,1,0,0,18,26925479
4.0,0,0,0,0,1,1,2004.0,en,11,10,1,48,595,82943667
1.0,1,2,0,0,1,0,2004.0,en,11,4,4,6,23,58149469
1.0,0,0,0,1,0,1,2004.0,en,11,1,1,0,100,71227296
4.0,0,0,0,0,1,0,2004.0,en,11,1,3,854,577,53064715
4.0,0,0,0,0,1,0,2004.0,en,11,2,0,1,209,47069009
2.0,0,0,0,0,1,0,2004.0,en,11,2,0,2,25,16599960
3.0,0,0,0,0,1,0,2004.0,en,11,14,8,7,590,60102687
4.0,0,0,0,0,1,0,2004.0,en,11,3,7,4,83,80678542
2.0,0,0,0,1,0,1,2004.0,en,11,7,1,13,778,73887357
4.0,0,0,0,0,1,1,2004.0,en,11,11,4,10,245,28613820
5.0,0,0,0,0,1,0,2004.0,en,11,1,9,509,132,70060851
2.0,0,0,0,0,1,0,2004.0,en,11,9,51,50,876,71857857
2.0,0,0,0,0,1,0,2004.0,en,11,5,12,203,741,70177880
1.0,0,0,0,0,1,1,2004.0,en,11,1,0,1,26,22931955
3.0,0,0,0,0,1,0,2004.0,en,11,3,8,2,40,78775669
1.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,37,91561893
3.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,3,52228859
2.0,0,0,0,0,1,0,2004.0,en,11,9,9,54,719,79409280
4.0,0,0,0,1,0,1,2004.0,en,11,1,2,0,5,1901916
2.0,0,0,0,0,1,1,2004.0,en,11,1,0,0,2,23706510
2.0,0,0,0,0,1,0,2004.0,en,11,36,21,98,1015,60453090
2.0,0,0,0,0,1,1,2004.0,en,11,17,1,38,2958,53951249
2.0,0,0,0,0,1,0,2004.0,en,11,2,23,52,390,35097747
4.0,0,0,0,0,1,0,2004.0,en,11,6,8,29,74,82432629
5.0,0,0,0,0,0,1,2004.0,en,11,3,161,4144,1586,75084886
3.0,0,0,0,1,0,1,2004.0,en,11,5,15,39,90,29349612
1.0,0,0,0,0,1,0,2004.0,en,11,8,3,13,157,9942722
2.0,0,0,0,0,1,0,2004.0,en,11,9,0,2,111,81850807
3.0,0,0,0,1,0,1,2004.0,en,11,2,0,0,23,6286140
1.0,0,0,0,0,1,0,2004.0,en,11,8,1,3,73,44907840
4.0,0,0,0,1,0,0,2004.0,en,11,1,1,0,10,65349204
3.0,0,0,0,0,1,0,2004.0,en,11,1,0,2,10,83091380
5.0,0,0,1,1,0,1,2004.0,en,11,18,220,2535,8726,243873
3.0,0,0,0,0,1,1,2004.0,en,11,2,0,0,20,6853597
3.0,0,0,0,0,1,0,2004.0,en,11,4,2,2,117,60544562
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,16,5205470
4.0,0,0,0,0,1,0,2008.0,en,77,1,1,6,23,53779961
3.0,0,0,0,0,1,0,2008.0,en,77,31,4,13,584,60914522
4.0,0,0,0,1,0,1,2008.0,en,77,8,0,3,136,67067909
1.0,0,0,0,0,1,0,2008.0,en,77,1,0,1,326,39446961
5.0,0,0,0,0,1,0,2008.0,en,77,21,5,126,1816,72365237
4.0,1,0,0,1,0,1,2008.0,en,77,8,21,293,3365,7471610
3.0,0,0,0,0,1,0,2008.0,en,77,14,0,1,1783,43252626
1.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,20,81460954
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,0,36,16422912
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,3,55133407
4.0,0,0,1,1,0,1,2008.0,en,77,8,2,35,1705,30718206
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,2,9,84215521
3.0,0,0,0,0,1,0,2008.0,en,77,88,13,94,897,8588170
2.0,0,0,0,0,1,0,2008.0,en,77,4,0,16,235,28671908
3.0,0,0,0,1,0,1,2008.0,en,77,8,0,11,211,13953693
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,0,76085547
5.0,1,0,0,1,0,1,2008.0,en,77,1,0,0,2,71541842
4.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,2,8407773
1.0,0,0,0,1,0,1,2008.0,en,77,2,0,3,209,60410171
5.0,1,0,0,0,1,0,2008.0,en,77,1,0,0,2,45613012
3.0,0,0,0,1,0,1,2008.0,en,77,4,2,9,64,795539
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,1,55848806
4.0,1,0,0,1,0,1,2008.0,en,77,1,0,5,53,44699430
4.0,0,0,0,1,0,1,2008.0,en,77,2,0,5,53,20767637
4.0,1,0,0,1,0,1,2008.0,en,77,12,5,179,829,86143444
3.0,0,0,0,0,1,0,2008.0,en,77,10,0,1,69,38701782
3.0,0,0,0,1,0,1,2008.0,en,77,1,3,0,174,52774344
4.0,0,0,0,1,0,1,2008.0,en,77,3,0,2,679,58056577
2.0,0,0,0,1,0,1,2008.0,en,77,8,0,5,253,43953046
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,1,60,4056612
3.0,0,0,0,0,1,0,2008.0,en,77,23,11,40,780,43364664
4.0,0,0,0,1,0,1,2008.0,en,77,6,0,7,395,19766238
4.0,0,0,0,0,1,1,2008.0,en,77,19,0,3,297,52082998
3.0,0,0,0,0,1,1,2008.0,en,77,4,0,32,213,30863866
3.0,0,0,1,1,0,0,2008.0,en,77,8,6,96,705,98779469
5.0,0,0,0,0,1,1,2008.0,en,77,8,0,4,101,2238921
4.0,0,0,0,1,0,0,2008.0,en,77,1,0,0,1,30189102
2.0,1,1,1,1,0,1,2008.0,en,77,31,24,111,1316,63068315
5.0,0,0,0,0,1,1,2008.0,en,77,15,0,0,228,26512170
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,16,16579278
2.0,0,0,0,0,1,1,2008.0,en,77,1,0,12,100,72625413
4.0,0,0,0,0,1,1,2008.0,en,77,3,9,51,571,87988125
3.0,0,0,1,1,0,1,2008.0,en,77,80,42,908,6021,77858776
3.0,0,0,1,1,0,1,2008.0,en,77,15,0,1,58,45560048
3.0,0,0,0,1,0,1,2008.0,en,77,3,0,1,420,97437780
4.0,0,0,0,1,0,1,2008.0,en,77,30,10,19,1076,83117974
4.0,0,0,0,1,0,1,2008.0,en,77,32,2,321,2222,23781937
5.0,0,0,0,1,0,1,2008.0,en,77,12,2,30,772,99332693
3.0,0,0,0,0,1,1,2008.0,en,77,2,0,1,114,82024739
5.0,0,0,0,1,0,1,2008.0,en,77,7,0,0,61,49795374
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,1,17238717
2.0,0,0,0,1,0,1,2008.0,en,77,8,5,144,2421,8784343
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,15,72869173
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,124,86628849
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,32,55204783
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,10,5211032
5.0,1,0,0,0,1,0,2008.0,en,77,5,0,11,246,8742704
3.0,0,0,0,1,0,1,2008.0,en,77,2,0,2,40,22619071
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,1,5,11065885
4.0,0,0,0,1,0,1,2008.0,en,77,1,0,3,1,37823613
3.0,0,0,0,0,1,1,2008.0,en,77,7,0,2,201,18512369
4.0,1,0,0,0,1,0,2008.0,en,77,2,15,63,373,66656703
5.0,0,0,0,0,1,0,2008.0,en,77,1,0,1,45,71074005
3.0,0,0,0,0,1,1,2008.0,en,77,3,4,21,58,73210516
3.0,0,0,0,1,0,1,2008.0,en,77,20,50,2463,6191,21777414
4.0,0,0,0,0,0,1,2008.0,en,77,6,0,1,164,39803646
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,1,7147467
3.0,0,0,0,0,0,1,2008.0,en,77,1,0,25,63,26884232
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,177,42059092
2.0,0,0,0,1,0,1,2008.0,en,77,5,4,34,269,75113297
3.0,0,0,0,0,1,1,2008.0,en,77,2,0,2,51,77140126
4.0,1,0,0,1,0,1,2008.0,en,77,15,114,467,1023,89084901
4.0,0,0,1,1,0,0,2008.0,en,77,60,321,355,7419,24718164
2.0,0,0,1,1,0,1,2008.0,en,77,12,2,3,765,22629384
5.0,1,0,0,0,1,1,2008.0,en,77,1,0,3,186,85508308
3.0,0,0,0,0,1,0,2008.0,en,77,5,2,7,127,73454425
4.0,0,0,0,0,1,0,2008.0,en,77,13,0,0,97,21298209
4.0,0,0,0,0,1,0,2008.0,en,77,12,0,0,155,78387638
5.0,0,0,0,0,1,0,2008.0,en,77,7,0,0,72,64475243
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,18,26925479
3.0,0,0,0,0,1,0,2008.0,en,77,8,2,1,94,47963321
4.0,0,0,1,1,0,0,2008.0,en,77,16,0,26,906,9698269
4.0,0,0,0,0,1,1,2008.0,en,77,5,0,1,47,14795404
3.0,0,0,0,0,1,0,2008.0,en,77,15,2,155,611,53103764
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,5,19052219
4.0,1,0,0,1,0,1,2008.0,en,77,13,9,130,1424,82008814
5.0,0,0,0,0,1,0,2008.0,en,77,2,0,3,85,14288631
5.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,2,93760491
4.0,0,0,0,0,1,0,2008.0,en,77,2,3,4,59,24777335
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,16,263925
2.0,0,0,0,0,1,1,2008.0,en,77,1,2,0,5,21132817
4.0,0,0,0,0,1,1,2008.0,en,77,1,2,11,40,49199080
3.0,0,0,0,0,1,1,2008.0,en,77,2,1,11,160,74547426
3.0,0,0,0,0,1,0,2008.0,en,77,2,0,1,19,95448925
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,17,55,19998611
4.0,0,0,0,0,1,1,2008.0,en,77,2,0,0,6,78132161
4.0,0,0,1,1,0,1,2008.0,en,77,1,0,27,111,1788779
5.0,0,0,0,0,1,0,2008.0,en,77,1,0,20,74,15310895
4.0,0,0,0,0,1,0,2008.0,en,77,7,0,3,335,30450219
3.0,0,0,0,0,1,0,2008.0,en,77,13,30,1145,2890,51651571
4.0,0,0,0,0,1,1,2008.0,en,77,1,1,10,28,17468416
3.0,0,0,0,0,1,1,2008.0,en,77,10,3,64,532,57395238
4.0,0,0,0,0,1,1,2008.0,en,77,9,0,3,768,48176981
4.0,0,0,0,0,1,0,2008.0,en,77,32,5,30,2271,34294231
4.0,0,0,0,0,1,0,2008.0,en,77,4,30,209,88,10498519
4.0,0,0,0,1,0,1,2008.0,en,77,23,7,60,820,41317272
4.0,0,0,0,0,1,1,2008.0,en,77,4,0,36,170,16356754
4.0,0,0,0,0,1,1,2008.0,en,77,4,1,27,531,51293885
3.0,0,0,0,0,1,1,2008.0,en,77,1,0,5,60,64153061
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,30,23846958
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,10,54728304
3.0,0,0,0,0,1,1,2008.0,en,77,1,1,2,10,49388329
3.0,0,0,0,0,1,0,2008.0,en,77,10,0,1,388,32310059
5.0,2,0,0,0,1,1,2008.0,en,77,4,0,2,12,7087498
4.0,0,0,0,0,1,0,2008.0,en,77,7,2,40,670,41277435
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,3,8,72867994
3.0,0,0,0,0,1,0,2008.0,en,77,5,0,7,187,34924255
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,10,24228022
4.0,0,0,0,0,1,1,2008.0,en,77,23,11,189,2678,65221597
4.0,0,0,0,0,1,0,2008.0,en,77,4,0,7,262,6061143
5.0,0,0,0,0,1,0,2008.0,en,77,4,9,416,1274,23662545
4.0,0,0,0,0,1,1,2008.0,en,77,24,7,3,472,65093263
4.0,0,0,0,0,1,0,2008.0,en,77,33,18,512,1574,63412603
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,5,25,6564605
5.0,0,0,0,1,0,1,2008.0,en,77,1,1,1,2,87154733
3.0,0,0,0,0,1,0,2008.0,en,77,5,6,99,259,69305460
4.0,0,0,0,0,1,0,2008.0,en,77,6,2,9,70,65237060
3.0,0,0,0,1,0,1,2008.0,en,77,7,1,13,778,73887357
3.0,0,0,0,0,1,0,2008.0,en,77,70,32,553,3793,88602100
4.0,0,0,1,1,0,1,2008.0,en,77,14,2,119,607,76112903
3.0,0,0,1,1,0,0,2008.0,en,77,23,95,1079,3005,59533763
3.0,0,0,0,0,1,0,2008.0,en,77,2,0,0,6,91550865
3.0,0,0,0,0,1,0,2008.0,en,77,16,0,64,816,68938709
4.0,0,0,0,0,1,0,2008.0,en,77,2,1,0,33,40027524
5.0,2,0,0,1,0,1,2008.0,en,77,3,0,3,101,75013057
3.0,0,0,0,0,1,0,2008.0,en,77,3,4,32,617,44598377
4.0,0,0,0,0,1,0,2008.0,en,77,8,5,9,463,72865215
4.0,1,0,0,0,1,1,2008.0,en,77,8,1,3,200,46420942
4.0,0,0,0,0,1,1,2008.0,en,77,9,3,6,74,96047692
5.0,0,0,0,0,1,1,2008.0,en,77,2,0,9,29,50365492
2.0,0,0,0,0,1,0,2008.0,en,77,3,1,6,112,9553064
4.0,0,0,0,0,1,0,2008.0,en,77,1,9,509,132,70060851
3.0,0,0,0,1,0,1,2008.0,en,77,8,0,5,85,75573423
4.0,0,0,0,1,0,1,2008.0,en,77,8,5,8,1087,25865153
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,11,20418348
2.0,0,0,0,0,1,0,2008.0,en,77,4,7,54,85,51047019
3.0,0,0,1,1,0,1,2008.0,en,77,2,0,0,45,73056894
4.0,0,0,1,1,0,0,2008.0,en,77,69,30,1603,17689,34343917
4.0,0,0,0,0,1,0,2008.0,en,77,9,2,14,174,59102383
3.0,0,0,0,0,1,0,2008.0,en,77,5,28,97,198,9878397
4.0,0,0,0,0,1,0,2008.0,en,77,1,2,1,10,81082589
5.0,0,0,0,0,1,0,2008.0,en,77,3,9,2,26,65685788
2.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,37,91561893
1.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,16,87140339
4.0,0,0,0,0,1,1,2008.0,en,77,7,0,2,215,37294228
5.0,0,0,0,0,1,0,2008.0,en,77,31,3,18,691,27678494
2.0,0,0,1,1,0,0,2008.0,en,77,22,22,116,1702,65262634
2.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,1,87442957
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,3,37396881
1.0,0,0,0,0,1,1,2008.0,en,77,4,2,4,77,47870055
4.0,0,0,0,0,1,1,2008.0,en,77,21,63,687,1899,29658996
3.0,0,0,0,1,0,1,2008.0,en,77,2,0,0,20,73998088
5.0,0,0,0,0,1,0,2008.0,en,77,11,9,56,364,56645078
3.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,2,23706510
3.0,0,0,0,0,0,1,2008.0,en,77,3,161,4144,1586,75084886
3.0,0,0,0,0,1,0,2008.0,en,77,23,66,552,1665,15246434
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,1,209,47069009
5.0,0,0,0,1,0,1,2008.0,en,77,4,2,1,210,47612197
3.0,0,0,0,0,1,0,2008.0,en,77,1,4,0,21,2816854
3.0,0,0,0,0,1,0,2008.0,en,77,43,12,57,1205,74248918
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,1,26579864
2.0,0,0,1,1,0,1,2006.0,en,3,1,0,0,0,84014712
3.0,0,0,0,0,1,1,2006.0,en,3,18,257,1722,606,76614369
3.0,0,0,0,0,1,0,2006.0,en,3,1,2,2,9,25753127
3.0,0,0,0,0,1,0,2006.0,en,3,58,332,2896,19197,80939825
2.0,0,0,0,0,1,0,1949.0,en,3,32,19,79,461,40158639
4.0,0,0,0,1,0,1,1949.0,en,3,3,0,11,317,98979941
3.0,0,0,1,1,0,0,1949.0,en,3,1,0,0,4,29505599
2.0,0,0,0,0,1,0,1949.0,en,3,4,0,24,4728,69085904
3.0,0,0,1,1,0,0,1949.0,en,3,22,22,116,1702,65262634
4.0,0,0,0,0,1,1,1949.0,en,3,4,0,2,4,67588911
2.0,4,0,0,1,0,1,1949.0,en,3,3,0,3,101,75013057
4.0,0,0,1,1,0,0,1949.0,en,3,69,30,1603,17689,34343917
5.0,0,0,0,0,1,1,1949.0,en,3,2,1,0,48,14470794
3.0,0,0,0,0,1,1,1949.0,en,3,1,0,25,51,67613628
4.0,0,0,1,1,0,0,1944.0,en,12,5,7,56,245,36566574
1.0,0,0,1,1,0,0,1944.0,en,12,1,0,0,5,44160677
5.0,1,0,1,1,0,1,1944.0,en,12,1,0,0,1,46760617
5.0,6,0,1,1,0,0,1944.0,en,12,57,68,1632,14542,92084264
3.0,0,0,0,0,1,1,1944.0,en,12,1,0,0,21,52003388
3.0,0,0,0,1,0,1,1944.0,en,12,49,0,11,3237,87606126
4.0,0,0,0,0,1,0,1944.0,en,12,9,4,28,1380,38916512
4.0,0,0,0,0,1,0,1944.0,en,12,32,19,79,461,40158639
4.0,0,0,0,0,1,0,1944.0,en,12,1,0,0,16,65462685
5.0,0,0,0,0,1,0,1944.0,en,12,18,3,21,1021,11726458
4.0,0,0,0,1,0,1,1944.0,en,12,2,1,1,10,60113354
3.0,0,0,0,0,1,1,1944.0,en,12,5,1,3,246,21091650
4.0,0,0,0,1,0,1,1944.0,en,12,2,0,0,130,50876176
4.0,0,0,0,0,1,0,1944.0,en,12,3,7,98,127,48929084
4.0,1,0,0,0,1,1,1944.0,en,12,1,16,36,41,17697414
2.0,0,0,0,0,1,0,1944.0,en,12,330,3438,46415,34805,61596227
5.0,0,0,0,0,1,0,1944.0,en,12,19,8,109,2911,25796657
4.0,0,0,0,0,1,0,1944.0,en,12,15,32,450,887,71456266
3.0,0,0,1,1,0,0,1944.0,en,12,113,192,1833,8179,76819909
3.0,0,0,0,0,1,0,1944.0,en,12,15,12,42,3173,20520598
3.0,0,0,0,0,1,0,1944.0,en,12,2,0,5,253,69000489
5.0,0,0,0,1,0,1,1968.0,en,35,5,0,0,895,40457977
4.0,0,0,0,0,1,1,1968.0,en,35,3,0,1,144,38750183
4.0,0,0,0,0,1,0,1968.0,en,35,5,0,2,553,19588120
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,0,18,54774509
4.0,0,0,0,1,0,1,1968.0,en,35,17,2,75,3213,57262409
4.0,0,0,0,0,1,0,1968.0,en,35,2,1,94,356,85944116
3.0,0,0,0,1,0,1,1968.0,en,35,15,0,2,3208,67163118
4.0,0,0,1,1,0,0,1968.0,en,35,23,35,463,2839,69007644
4.0,0,0,0,1,0,1,1968.0,en,35,1,14,50,534,74593823
5.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,94,27308601
3.0,0,0,1,1,0,0,1968.0,en,35,23,285,96,589,28267278
4.0,0,0,0,0,1,1,1968.0,en,35,36,15,46,726,96235498
3.0,0,0,0,0,1,0,1968.0,en,35,1,0,0,63,19119379
5.0,1,0,1,1,0,0,1968.0,en,35,32,13,299,1152,49133924
3.0,0,0,0,0,1,1,1968.0,en,35,7,16,126,1298,57197641
4.0,0,0,0,1,0,1,1968.0,en,35,1,0,0,43,26722000
4.0,0,0,0,0,1,0,1968.0,en,35,4,0,24,4728,69085904
4.0,0,0,0,1,0,1,1968.0,en,35,1,0,0,25,44526632
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,6,365,74961595
4.0,0,0,0,0,1,0,1968.0,en,35,1,3,21,55,46677790
4.0,0,0,0,0,0,1,1968.0,en,35,5,0,0,84,14084232
4.0,0,0,0,0,1,0,1968.0,en,35,5,0,1,354,32172230
4.0,0,0,0,1,0,1,1968.0,en,35,2,1,0,170,62829543
3.0,0,0,0,0,1,1,1968.0,en,35,5,1,303,419,21488314
5.0,0,0,0,0,1,0,1968.0,en,35,3,0,1,238,68393115
3.0,0,0,1,1,0,0,1968.0,en,35,16,4,204,5052,48239614
3.0,0,0,0,0,1,1,1968.0,en,35,3,9,302,291,96568827
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,2,150,71854913
4.0,0,0,1,1,0,0,1968.0,en,35,18,81,567,4746,33594518
4.0,0,0,0,0,1,0,1968.0,en,35,3,0,3,190,88372524
5.0,0,0,0,0,1,0,1968.0,en,35,6,5,47,606,59090982
4.0,0,0,0,0,1,1,1968.0,en,35,9,0,6,455,45458094
4.0,0,0,0,0,1,0,1968.0,en,35,3,7,4,83,80678542
4.0,0,0,0,0,1,0,1968.0,en,35,10,1,2,140,71670077
4.0,0,0,0,0,1,0,1968.0,en,35,64,1,4,609,73414791
4.0,0,0,0,1,0,1,1968.0,en,35,1,2,23,20,93498073
4.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,13,18894929
5.0,0,0,0,1,0,1,1968.0,en,35,7,2,7,502,86295175
4.0,0,0,0,0,1,1,1968.0,en,35,5,0,2,403,92282422
5.0,0,0,0,0,1,1,1968.0,en,35,2,0,2,44,97460764
3.0,0,0,0,0,1,0,1968.0,en,35,10,0,2,100,65169283
4.0,0,0,0,0,1,0,1968.0,en,35,54,10,18,2766,39245276
5.0,0,0,1,1,0,0,1968.0,en,35,1,0,2,56,11174102
5.0,0,0,0,0,1,1,1968.0,en,35,2,1,13,210,43393251
3.0,0,0,0,0,1,0,1968.0,en,35,2,0,1,150,86636845
4.0,0,0,0,0,1,0,1968.0,en,35,5,62,5304,3247,7614253
5.0,0,0,0,0,1,1,1968.0,en,35,1,7,147,596,97213256
3.0,0,0,0,0,1,1,1968.0,en,35,2,1,0,48,14470794
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,3,112,38575237
5.0,0,0,0,0,1,0,1968.0,en,35,13,1,15,701,81742642
5.0,0,0,0,0,1,1,1968.0,en,35,6,3,46,101,55764267
4.0,0,0,1,1,0,1,1968.0,en,35,13,25,422,1176,85981819
4.0,0,0,0,0,1,1,1968.0,en,35,14,27,281,282,82338600
4.0,0,0,0,0,1,0,1968.0,en,35,1,0,4,19,24333446
5.0,0,0,0,0,1,0,1968.0,en,35,4,2,10,375,70810793
4.0,0,0,0,0,1,0,1968.0,en,35,4,1,132,189,6395486
2.0,0,0,0,1,0,1,1968.0,en,35,3,0,1,59,69002043
4.0,0,0,0,0,1,0,1968.0,en,35,5,1,14,119,53709046
3.0,0,0,0,1,0,1,1968.0,en,35,1,1,0,100,71227296
4.0,0,0,0,1,0,1,1968.0,en,35,1,5,0,100,92706192
4.0,0,0,1,1,0,1,1968.0,en,35,12,1,20,230,98595320
4.0,0,0,0,0,1,0,1968.0,en,35,1,4,0,21,2816854
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,3,101,75013057
4.0,0,0,1,1,0,1,1968.0,en,35,1,0,1,775,10382222
4.0,0,0,0,0,1,1,1968.0,en,35,1,0,0,10,40712992
4.0,0,0,0,0,1,0,1968.0,en,35,4,55,2460,206,91400208
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,1,12,28422902
5.0,0,0,0,0,1,1,1968.0,en,35,1,0,1,10,76929502
4.0,0,0,0,0,1,0,1968.0,en,35,2,5,98,1895,21821519
5.0,0,0,0,0,1,0,1968.0,en,35,4,0,0,1032,25543551
5.0,0,0,0,0,1,1,1968.0,en,35,2,0,0,54,61530590
4.0,0,0,0,1,0,1,1968.0,en,35,2,0,1,47,91496070
4.0,0,0,0,0,0,1,1968.0,en,35,3,161,4144,1586,75084886
3.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,40,33297621
4.0,0,0,0,1,0,1,1968.0,en,35,14,4,19,139,12084796
4.0,0,0,0,0,1,0,1968.0,en,35,2,1,2,14,68961201
4.0,0,0,0,0,0,0,1968.0,en,35,1,1,8,55,74013846
3.0,0,0,0,0,1,1,1968.0,en,35,2,7,178,53,90191906
4.0,0,0,0,0,1,1,1968.0,en,35,6,67,398,364,95746525
4.0,0,0,0,1,0,1,1968.0,en,35,23,9,17,364,39847061
4.0,0,0,0,0,1,0,1968.0,en,35,3,1,6,112,9553064
4.0,0,0,0,0,1,0,1968.0,en,35,3,87,1943,239,26832866
4.0,0,0,0,0,1,0,1968.0,en,35,5,6,22,382,44065474
3.0,0,0,0,0,1,1,1968.0,en,35,13,94,1047,3624,9315002
4.0,1,0,0,0,1,0,1968.0,en,35,2,5,50,188,62256786
2.0,0,0,0,0,1,0,1968.0,en,35,2,6,53,174,60938909
4.0,0,0,0,0,1,0,1968.0,en,35,21,221,2820,1300,86759404
2.0,0,0,0,0,1,1,1968.0,en,35,64,22,204,3239,14369465
5.0,0,0,0,0,1,0,1968.0,en,35,7,33,212,279,28906484
4.0,0,0,0,0,1,0,1968.0,en,35,330,3438,46415,34805,61596227
3.0,0,0,0,0,1,0,1962.0,en,1936,1,0,2,29,15035657
4.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,76,99124330
4.0,0,0,0,0,1,0,1962.0,en,1936,9,2,14,174,59102383
5.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,6,86128352
4.0,0,0,1,1,0,0,1962.0,en,1936,1,0,1,31,83172107
2.0,0,0,0,0,1,0,1962.0,en,1936,1,0,2,28,76462786
5.0,0,0,0,1,0,1,1962.0,en,1936,16,0,1,691,75496029
4.0,0,0,0,0,1,0,1962.0,en,1936,1,0,1,468,58287170
3.0,0,0,0,0,1,0,1962.0,en,1936,9,19,86,382,80153800
4.0,1,0,0,1,0,1,1962.0,en,1936,6,0,0,138,60324593
4.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,6,59970613
